headword, pos, vietnamese
abate, verb, giảm bớt  
aberration, noun, sự lệch lạc  
abhor, verb, ghét cay ghét đắng  
abstruse, adjective, khó hiểu  
accolade, noun, sự tán dương  
acrimony, noun, sự gay gắt  
acumen, noun, sự nhạy bén  
adamant, adjective, kiên quyết  
adept, adjective, tinh thông  
adulation, noun, sự tán dương quá mức  
adversity, noun, nghịch cảnh  
advocate, verb, ủng hộ  
aesthetic, adjective, thẩm mỹ  
affable, adjective, dễ gần  
affinity, noun, sự đồng cảm  
affluent, adjective, giàu có  
aggrandize, verb, phóng đại  
aggregate, noun, tập hợp  
alacrity, noun, sự hăng hái  
alleviate, verb, làm giảm nhẹ  
allude, verb, ám chỉ  
altruism, noun, lòng vị tha  
ambiguous, adjective, mơ hồ  
ambivalent, adjective, mâu thuẫn  
ameliorate, verb, cải thiện  
amicable, adjective, thân thiện  
ample, adjective, phong phú  
anomaly, noun, dị thường  
antipathy, noun, ác cảm  
apathy, noun, thờ ơ  
appease, verb, xoa dịu  
arbitrary, adjective, tùy ý  
arcane, adjective, bí ẩn  
archaic, adjective, cổ xưa  
arduous, adjective, gian truân  
articulate, adjective, rõ ràng  
ascertain, verb, xác định  
ascetic, adjective, khổ hạnh  
aspire, verb, khao khát  
assiduous, adjective, siêng năng  
astute, adjective, sắc sảo  
asylum, noun, nơi trú ẩn  
atrophy, noun, sự suy yếu  
attenuate, verb, làm yếu đi  
audacious, adjective, táo bạo  
augment, verb, tăng cường  
auspicious, adjective, thuận lợi  
austere, adjective, khắc khổ  
avarice, noun, lòng tham  
aver, verb, xác nhận  
avid, adjective, háo hức  
banal, adjective, tầm thường  
bane, noun, tai họa  
belabor, verb, bàn luận kỹ  
belie, verb, che giấu  
benevolent, adjective, nhân từ  
benign, adjective, lành tính  
bequeath, verb, để lại (tài sản)  
berate, verb, quở trách  
beseech, verb, cầu xin  
blasphemy, noun, sự báng bổ  
blatant, adjective, rành rành  
bolster, verb, củng cố  
bombastic, adjective, khoa trương  
boon, noun, lợi ích  
bourgeois, adjective, thuộc về tầng lớp trung lưu  
brazen, adjective, trơ tráo  
brevity, noun, sự ngắn gọn  
broach, verb, mở đầu (vấn đề)  
brusque, adjective, cộc cằn  
bucolic, adjective, thôn quê  
burgeon, verb, phát triển mạnh  
cacophony, noun, âm thanh chói tai  
cajole, verb, dụ dỗ  
callous, adjective, nhẫn tâm  
candor, noun, sự thẳng thắn  
capacious, adjective, rộng lớn  
capitulate, verb, đầu hàng  
capricious, adjective, thất thường  
catalyst, noun, chất xúc tác  
caustic, adjective, cay nghiệt  
censure, verb, chỉ trích  
chagrin, noun, sự thất vọng  
charlatan, noun, kẻ bịp bợm  
chastise, verb, trừng phạt  
chicanery, noun, mưu mẹo  
choleric, adjective, nóng nảy  
chronic, adjective, kinh niên  
circuitous, adjective, quanh co  
circumspect, adjective, thận trọng  
circumvent, verb, lách luật  
clandestine, adjective, bí mật  
coalesce, verb, hợp nhất  
cogent, adjective, thuyết phục  
coherent, adjective, mạch lạc  
colloquial, adjective, thông tục  
commensurate, adjective, tương xứng  
complacent, adjective, tự mãn  
compliant, adjective, tuân thủ  
comprehensive, adjective, toàn diện  
concede, verb, thừa nhận  
concise, adjective, ngắn gọn  
concur, verb, đồng ý  
condone, verb, bỏ qua  
conducive, adjective, có lợi  
conflagration, noun, đám cháy lớn  
confluence, noun, sự hội tụ  
confound, verb, làm bối rối  
connoisseur, noun, người sành sỏi  
conscientious, adjective, tận tâm  
consecrate, verb, thánh hóa  
consensus, noun, sự đồng thuận  
conspicuous, adjective, dễ thấy  
constraint, noun, sự ràng buộc  
consummate, adjective, tài giỏi  
contentious, adjective, gây tranh cãi  
contrite, adjective, ăn năn  
conundrum, noun, câu đố hóc búa  
convene, verb, triệu tập  
converge, verb, hội tụ  
convivial, adjective, vui vẻ  
convoluted, adjective, phức tạp  
copious, adjective, dồi dào  
cordial, adjective, thân mật  
corroborate, verb, xác nhận  
corrosive, adjective, ăn mòn  
cosmopolitan, adjective, toàn cầu  
covert, adjective, bí mật  
craven, adjective, hèn nhát  
credulous, adjective, nhẹ dạ  
cryptic, adjective, bí ẩn  
culpable, adjective, đáng khiển trách  
cumbersome, adjective, cồng kềnh  
cupidity, noun, lòng tham  
cursory, adjective, qua loa  
curtail, verb, cắt giảm  
debacle, noun, sự thất bại  
debilitate, verb, làm suy yếu  
debunk, verb, vạch trần  
decorum, noun, sự đúng mực  
deference, noun, sự tôn trọng  
defunct, adjective, không còn hoạt động  
deleterious, adjective, có hại  
delineate, verb, mô tả chi tiết  
demagogue, noun, kẻ mị dân  
denigrate, verb, phỉ báng  
denounce, verb, tố cáo  
deplore, verb, phàn nàn  
depravity, noun, sự sa đọa  
deprecate, verb, phản đối  
deride, verb, chế giễu  
derivative, adjective, phát sinh  
despondent, adjective, nản lòng  
destitute, adjective, thiếu thốn  
desultory, adjective, rời rạc  
deterrent, noun, vật ngăn cản  
detrimental, adjective, có hại  
devious, adjective, quanh co  
devoid, adjective, thiếu  
devout, adjective, sùng đạo  
diatribe, noun, bài công kích  
didactic, adjective, mang tính giáo huấn  
diffident, adjective, rụt rè  
digress, verb, lạc đề  
dilatory, adjective, trì hoãn  
dilettante, noun, người nghiệp dư  
diligent, adjective, siêng năng  
diminutive, adjective, nhỏ bé  
discern, verb, nhận thức  
disclose, verb, tiết lộ  
discord, noun, sự bất hòa  
discredit, verb, làm mất uy tín  
discrepancy, noun, sự khác biệt  
disdain, noun, sự khinh bỉ  
disingenuous, adjective, không thành thật  
disparage, verb, chê bai  
disparate, adjective, khác biệt  
dispel, verb, xua tan  
disperse, verb, phân tán  
disposition, noun, tính tình  
dissipate, verb, tiêu tan  
dissonance, noun, sự bất hòa  
distend, verb, phình ra  
distill, verb, chưng cất  
diverge, verb, phân kỳ  
divulge, verb, tiết lộ  
docile, adjective, dễ bảo  
dogmatic, adjective, giáo điều  
dormant, adjective, tiềm ẩn  
dubious, adjective, nghi ngờ  
dupe, verb, lừa bịp  
duplicity, noun, sự gian dối  
ebullient, adjective, sôi nổi  
eclectic, adjective, chiết trung  
efface, verb, xóa bỏ  
efficacy, noun, hiệu quả  
effrontery, noun, sự trơ tráo  
effusive, adjective, dạt dào  
egalitarian, adjective, bình đẳng  
egregious, adjective, nổi bật (theo hướng xấu)  
elated, adjective, phấn khởi  
elucidate, verb, làm sáng tỏ  
elusive, adjective, khó nắm bắt  
embellish, verb, tô điểm  
embezzle, verb, biển thủ  
eminent, adjective, nổi tiếng  
empathy, noun, sự đồng cảm  
