headword, pos, vietnamese
abandon, verb, từ bỏ  
ability, noun, khả năng  
abrupt, adjective, đột ngột  
absolute, adjective, tuyệt đối  
abstract, adjective, trừu tượng  
abundant, adjective, phong phú  
accelerate, verb, tăng tốc  
accept, verb, chấp nhận  
access, noun, truy cập  
accuse, verb, buộc tội  
achieve, verb, đạt được  
acknowledge, verb, thừa nhận  
acquire, verb, đạt được  
adapt, verb, thích nghi  
adequate, adjective, đầy đủ
adhere, verb, tuân thủ  
adjacent, adjective, liền kề  
adjust, verb, điều chỉnh  
administer, verb, quản lý  
admit, verb, thừa nhận  
adopt, verb, nhận nuôi  
adore, verb, yêu thích  
advance, verb, tiến bộ  
advantage, noun, lợi thế  
adventure, noun, cuộc phiêu lưu  
balance, noun, sự cân bằng  
bargain, noun, món hời  
basic, adjective, cơ bản  
battle, noun, trận chiến  
beauty, noun, vẻ đẹp  
behavior, noun, hành vi  
belief, noun, niềm tin  
believe, verb, tin tưởng  
benefit, noun, lợi ích  
beside, preposition, bên cạnh  
betray, verb, phản bội  
beyond, preposition, vượt xa  
bizarre, adjective, kỳ lạ  
blend, verb, pha trộn  
bless, verb, ban phước  
bloom, noun, sự nở hoa  
blow, verb, thổi  
boast, verb, khoe khoang  
bold, adjective, táo bạo  
bond, noun, liên kết  
boundary, noun, ranh giới  
brave, adjective, dũng cảm  
brief, adjective, ngắn gọn  
bright, adjective, sáng  
burden, noun, gánh nặng  
calculate, verb, tính toán  
capacity, noun, sức chứa  
capture, verb, bắt giữ  
career, noun, sự nghiệp  
careful, adjective, cẩn thận  
casual, adjective, bình thường  
caution, noun, sự cẩn trọng  
celebrate, verb, tổ chức  
certain, adjective, chắc chắn  
challenge, noun, thách thức  
change, noun, sự thay đổi  
character, noun, nhân vật  
charity, noun, từ thiện  
choice, noun, sự lựa chọn  
choose, verb, chọn  
circle, noun, vòng tròn  
claim, verb, yêu cầu  
clarify, verb, làm rõ  
classify, verb, phân loại  
clean, adjective, sạch sẽ  
clear, adjective, rõ ràng  
climate, noun, khí hậu  
collect, verb, thu thập  
comfort, noun, sự thoải mái  
community, noun, cộng đồng  
damage, noun, sự thiệt hại  
danger, noun, sự nguy hiểm  
daring, adjective, táo bạo  
data, noun, dữ liệu  
debate, noun, cuộc tranh luận  
decide, verb, quyết định  
declare, verb, tuyên bố  
decrease, verb, giảm  
defeat, verb, đánh bại  
defend, verb, bảo vệ  
define, verb, định nghĩa  
degree, noun, mức độ  
delay, noun, sự trì hoãn  
demand, noun, nhu cầu  
demonstrate, verb, minh họa  
deny, verb, phủ nhận  
depend, verb, phụ thuộc  
depth, noun, độ sâu  
describe, verb, mô tả  
deserve, verb, xứng đáng  
design, noun, thiết kế  
desire, noun, mong muốn  
destroy, verb, phá hủy  
detail, noun, chi tiết  
detect, verb, phát hiện  
eager, adjective, háo hức  
earn, verb, kiếm được  
ease, noun, sự thoải mái  
educate, verb, giáo dục  
effect, noun, hiệu ứng  
effort, noun, nỗ lực  
elaborate, adjective, phức tạp  
election, noun, cuộc bầu cử  
elegant, adjective, thanh lịch  
eliminate, verb, loại bỏ  
embrace, verb, ôm  
emerge, verb, xuất hiện  
emphasize, verb, nhấn mạnh  
employ, verb, tuyển dụng  
empty, adjective, trống rỗng  
enable, verb, cho phép  
encounter, verb, chạm trán  
encourage, verb, khuyến khích  
endure, verb, chịu đựng  
engage, verb, tham gia  
enhance, verb, nâng cao  
enjoy, verb, thưởng thức  
ensure, verb, đảm bảo  
enter, verb, vào  
enthusiasm, noun, sự nhiệt tình  
fabric, noun, vải  
face, verb, đối mặt  
fact, noun, sự thật  
fail, verb, thất bại  
fair, adjective, công bằng  
faith, noun, niềm tin  
fall, verb, ngã  
familiar, adjective, quen thuộc  
famous, adjective, nổi tiếng  
fancy, adjective, cầu kỳ  
far, adjective, xa  
fascinate, verb, mê hoặc  
fast, adjective, nhanh  
favor, noun, ân huệ  
fear, noun, nỗi sợ  
feature, noun, đặc điểm  
fee, noun, lệ phí  
feel, verb, cảm thấy  
fellow, noun, đồng nghiệp  
few, adjective, ít  
fiction, noun, viễn tưởng  
field, noun, cánh đồng  
fight, verb, chiến đấu  
figure, noun, hình dáng  
fill, verb, làm đầy  
gain, verb, đạt được  
game, noun, trò chơi  
gap, noun, khoảng cách  
gather, verb, thu thập  
general, adjective, chung  
generate, verb, tạo ra  
generous, adjective, hào phóng  
gentle, adjective, nhẹ nhàng  
genuine, adjective, chân thực  
gift, noun, món quà  
give, verb, đưa  
glad, adjective, vui mừng  
goal, noun, mục tiêu  
govern, verb, quản lý  
grace, noun, duyên dáng  
grade, noun, điểm số  
graduate, verb, tốt nghiệp  
grant, verb, cấp  
grateful, adjective, biết ơn  
gravity, noun, trọng lực  
great, adjective, tuyệt vời  
green, adjective, xanh lá cây  
greet, verb, chào hỏi  
ground, noun, mặt đất  
group, noun, nhóm  
habit, noun, thói quen  
handle, verb, xử lý  
happen, verb, xảy ra  
happy, adjective, hạnh phúc  
harbor, noun, bến cảng  
hard, adjective, cứng  
harm, noun, tổn hại  
harmony, noun, hòa hợp  
harsh, adjective, khắc nghiệt  
hate, verb, ghét  
have, verb, có  
hazard, noun, nguy cơ  
heal, verb, chữa lành  
health, noun, sức khỏe  
hear, verb, nghe  
heart, noun, trái tim  
heat, noun, nhiệt độ  
heaven, noun, thiên đường  
heavy, adjective, nặng  
help, verb, giúp đỡ  
hide, verb, giấu  
high, adjective, cao  
highlight, verb, làm nổi bật  
hinder, verb, cản trở  
hint, noun, gợi ý  
idea, noun, ý tưởng  
ideal, adjective, lý tưởng  
identify, verb, xác định  
ignore, verb, phớt lờ  
ill, adjective, ốm yếu  
illuminate, verb, chiếu sáng  
illustrate, verb, minh họa  
image, noun, hình ảnh  
imagine, verb, tưởng tượng  
impact, noun, tác động  
imply, verb, ám chỉ  
importance, noun, tầm quan trọng  
impress, verb, gây ấn tượng  
improve, verb, cải thiện  
include, verb, bao gồm  
income, noun, thu nhập  
increase, verb, tăng  
indicate, verb, chỉ ra  
influence, noun, ảnh hưởng  
inform, verb, thông báo  
inhabit, verb, cư trú  
initial, adjective, ban đầu  
injure, verb, làm tổn thương  
innocent, adjective, vô tội  
inspire, verb, truyền cảm hứng  
jacket, noun, áo khoác  
jail, noun, nhà tù  
jewel, noun, đá quý  
job, noun, công việc  
join, verb, tham gia  
joke, noun, câu đùa  
journey, noun, hành trình  
joy, noun, niềm vui  
judge, verb, đánh giá  
juice, noun, nước ép  
jump, verb, nhảy  
jungle, noun, rừng rậm  
justice, noun, công lý  
justify, verb, biện minh  
keen, adjective, sắc bén  
keep, verb, giữ  
key, noun, chìa khóa  
kick, verb, đá  
kid, noun, trẻ con  
kill, verb, giết  
kind, adjective, tử tế  
king, noun, vua  
kitchen, noun, nhà bếp  
knee, noun, đầu gối  
knowledge, noun, kiến thức  
label, noun, nhãn  
lack, noun, sự thiếu  
land, noun, đất đai  
language, noun, ngôn ngữ  
large, adjective, lớn  
last, adjective, cuối cùng  
laugh, verb, cười  
law, noun, luật  
lead, verb, dẫn dắt  
learn, verb, học  
least, adjective, ít nhất  
leave, verb, rời khỏi  
legend, noun, huyền thoại  
lend, verb, cho mượn  
length, noun, chiều dài  
less, adjective, ít hơn  
letter, noun, lá thư  
level, noun, cấp độ  
liberty, noun, tự do  
life, noun, cuộc sống  
light, noun, ánh sáng  
like, verb, thích  
limit, noun, giới hạn  
line, noun, dòng  
listen, verb, nghe  
machine, noun, máy móc  
mad, adjective, điên cuồng  
maintain, verb, duy trì  
major, adjective, chính  
make, verb, làm  
man, noun, đàn ông  
manage, verb, quản lý  
manner, noun, cách thức  
many, adjective, nhiều  
mark, noun, dấu  
market, noun, chợ  
marry, verb, kết hôn  
master, noun, bậc thầy  
material, noun, vật liệu  
matter, noun, vấn đề  
measure, verb, đo lường  
medicine, noun, thuốc  
medium, noun, phương tiện  
meet, verb, gặp  
melt, verb, tan chảy  
member, noun, thành viên  
memory, noun, trí nhớ  
mention, verb, đề cập  
message, noun, tin nhắn  
method, noun, phương pháp  
name, noun, tên  
narrative, noun, câu chuyện  
narrow, adjective, hẹp  
nation, noun, quốc gia  
native, adjective, bản địa  
nature, noun, thiên nhiên  
near, adjective, gần  
necessary, adjective, cần thiết  
need, verb, cần  
negative, adjective, tiêu cực  
neglect, verb, sao lãng  
neighbor, noun, hàng xóm  
neither, conjunction, không  
nerve, noun, thần kinh  
network, noun, mạng lưới  
neutral, adjective, trung lập  
never, adverb, không bao giờ  
new, adjective, mới  
news, noun, tin tức  
next, adjective, tiếp theo  
nice, adjective, dễ chịu  
night, noun, đêm  
noble, adjective, cao quý  
noise, noun, tiếng ồn  
normal, adjective, bình thường  
object, noun, đối tượng  
observe, verb, quan sát  
obtain, verb, đạt được  
obvious, adjective, rõ ràng  
occasion, noun, dịp  
occupy, verb, chiếm giữ  
occur, verb, xảy ra  
ocean, noun, đại dương  
offer, verb, đề nghị  
office, noun, văn phòng  
often, adverb, thường xuyên  
omit, verb, bỏ sót  
open, verb, mở  
operate, verb, vận hành  
opinion, noun, ý kiến  
oppose, verb, phản đối  
option, noun, tùy chọn  
order, noun, thứ tự  
ordinary, adjective, bình thường  
organize, verb, tổ chức  
origin, noun, nguồn gốc  
otherwise, adverb, nếu không thì  
outcome, noun, kết quả  
outside, noun, bên ngoài  
overcome, verb, vượt qua  
pace, noun, nhịp độ  
pack, verb, đóng gói  
pain, noun, đau đớn  
paint, verb, sơn  
pair, noun, đôi  
pale, adjective, nhợt nhạt  
panel, noun, bảng điều khiển  
paper, noun, giấy  
parade, noun, cuộc diễu hành  
parallel, adjective, song song  
parent, noun, cha mẹ  
park, noun, công viên  
part, noun, phần  
particular, adjective, cụ thể  
partner, noun, đối tác  
party, noun, bữa tiệc  
pass, verb, vượt qua  
past, noun, quá khứ  
patient, noun, bệnh nhân  
pattern, noun, mẫu  
pause, verb, tạm dừng  
pay, verb, trả tiền  
peace, noun, hòa bình  
peak, noun, đỉnh  
pen, noun, bút  
quality, noun, chất lượng  
quantity, noun, số lượng  
quarter, noun, một phần tư  
question, noun, câu hỏi  
quick, adjective, nhanh  
quiet, adjective, yên tĩnh  
quit, verb, từ bỏ  
quite, adverb, khá  
quote, verb, trích dẫn  
quiver, verb, run rẩy  
qualify, verb, đủ điều kiện  
quarrel, noun, cãi nhau  
quest, noun, cuộc tìm kiếm  
quaint, adjective, kỳ lạ  
quench, verb, dập tắt  
quicksand, noun, cát lún  
quota, noun, hạn ngạch  
